INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (25, 17, '2021-03-06 15:40:35', '2021-03-09 00:32:18', 2, 147, 0, 4500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (12, 108, '2021-02-19 18:41:39', '2021-02-21 17:15:38', 2, 716, 0, 1732, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (16, 85, '2021-04-01 07:50:13', '2021-04-08 05:23:49', 2, 4627, 0, 10304, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (29, 177, '2020-06-27 09:35:36', '2020-07-02 04:36:00', 2, 1230, 0, 6500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (30, 12, '2020-04-25 05:36:44', '2020-04-27 13:13:57', 2, 1749, 1, 3048, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (7, 97, '2021-04-09 03:14:54', '2021-04-11 02:58:25', 2, 214, 0, 1300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (24, 145, '2020-02-20 08:58:59', '2020-02-22 08:29:36', 2, 476, 1, 2400, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (22, 97, '2020-01-31 13:13:47', '2020-02-02 12:02:25', 2, 714, 0, 3242, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (31, 24, '2021-04-06 16:10:05', '2021-04-11 14:01:20', 2, 715, 1, 1750, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (25, 227, '2020-01-22 15:07:45', '2020-01-24 02:48:02', 2, 114, 1, 2600, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (2, 70, '2020-01-02 09:23:20', '2020-01-03 23:19:09', 2, 1294, 0, 2488, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (25, 154, '2020-08-09 04:09:45', '2020-08-19 05:49:25', 2, 5808, 0, 24024, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (18, 29, '2021-06-22 14:33:34', '2021-06-24 13:07:52', 1, 824, 0, 1048, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (6, 109, '2020-10-02 21:09:42', '2020-10-11 03:48:20', 2, 549, 1, 6750, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 179, '2020-12-28 18:57:59', '2020-12-30 23:47:49', 2, 210, 1, 2550, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (6, 207, '2021-05-08 10:25:48', '2021-05-09 15:00:24', 2, 516, 1, 1500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (15, 213, '2020-01-12 19:54:09', '2020-01-26 19:34:22', 2, 896, 1, 28000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 238, '2020-03-22 20:16:42', '2020-03-24 07:51:11', 2, 720, 0, 1940, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (24, 28, '2021-01-13 05:00:52', '2021-01-15 04:46:22', 2, 662, 1, 2886, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (22, 74, '2021-05-08 16:42:36', '2021-05-10 13:42:01', 2, 176, 1, 2400, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (13, 122, '2021-03-01 10:42:42', '2021-03-03 10:25:34', 2, 386, 1, 2400, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (30, 200, '2021-01-07 18:58:51', '2021-01-09 18:31:19', 2, 1028, 1, 1756, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (11, 72, '2020-12-14 03:48:45', '2020-12-15 10:42:38', 2, 148, 0, 400, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (17, 249, '2020-12-25 03:42:05', '2020-12-26 02:24:17', 2, 234, 0, 650, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (27, 47, '2020-03-16 10:38:38', '2020-03-23 11:30:24', 2, 1240, 1, 6000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (29, 82, '2020-03-18 14:23:16', '2020-04-01 19:03:39', 2, 750, 1, 18000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (2, 69, '2021-04-17 10:18:34', '2021-04-23 10:08:51', 2, 774, 1, 3300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (12, 142, '2020-03-21 05:33:03', '2020-04-01 14:22:16', 2, 3828, 1, 9000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (18, 88, '2020-11-21 07:44:49', '2020-11-23 11:34:28', 2, 150, 1, 1050, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (8, 171, '2020-08-20 08:04:31', '2020-08-27 03:52:16', 2, 2289, 1, 6650, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (26, 215, '2020-09-06 17:34:20', '2020-09-18 21:20:55', 2, 1508, 0, 16900, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (20, 77, '2021-05-23 14:34:42', '2021-06-05 22:19:58', 2, 5838, 0, 23114, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (21, 160, '2021-06-26 04:16:04', '2021-06-28 00:50:45', 1, 92, 0, 300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (5, 55, '2020-09-22 14:43:15', '2020-09-30 13:24:30', 2, 3576, 0, 6752, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (27, 148, '2020-10-13 12:18:59', '2020-10-22 08:53:04', 2, 2403, 0, 7650, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (1, 191, '2020-12-23 22:23:19', '2020-12-26 18:19:04', 2, 1017, 1, 1650, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (5, 241, '2021-05-17 22:10:22', '2021-05-22 10:55:25', 2, 1650, 1, 2750, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (10, 111, '2020-06-15 14:56:10', '2020-06-23 06:30:23', 2, 696, 0, 20000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (10, 31, '2020-06-22 20:01:39', '2020-06-25 07:38:19', 2, 258, 0, 7500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 110, '2020-06-13 05:24:21', '2020-06-24 05:03:07', 2, 1232, 1, 9350, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (10, 195, '2020-07-03 07:52:21', '2020-07-18 06:27:47', 2, 3510, 1, 40050, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (2, 32, '2021-02-13 12:10:49', '2021-02-15 19:07:26', 2, 135, 0, 1950, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (13, 91, '2020-03-29 06:34:49', '2020-04-01 02:33:08', 2, 1104, 1, 4662, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (31, 55, '2020-08-18 11:59:56', '2020-08-26 20:38:34', 2, 315, 1, 3150, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (6, 119, '2020-11-06 19:18:44', '2020-11-15 16:14:57', 2, 2844, 1, 6750, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (28, 71, '2020-11-17 23:04:51', '2020-11-19 08:39:19', 2, 588, 1, 3952, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (10, 128, '2021-06-30 04:13:53', '2021-07-01 20:09:08', 1, 266, 1, 4500, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (14, 237, '2020-08-14 09:21:24', '2020-08-16 09:00:18', 2, 1300, 1, 2300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (31, 200, '2020-10-21 18:47:49', '2020-10-23 17:21:41', 2, 70, 1, 700, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (22, 222, '2020-03-19 18:37:35', '2020-04-01 05:12:13', 2, 325, 0, 16900, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (28, 12, '2021-05-04 14:38:18', '2021-05-18 18:21:24', 2, 1110, 1, 27000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (32, 142, '2021-03-01 12:48:46', '2021-03-03 11:46:55', 2, 214, 0, 1900, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (16, 113, '2020-07-07 05:51:48', '2020-07-10 00:29:46', 2, 210, 0, 2550, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (18, 174, '2020-11-01 21:24:47', '2020-11-10 05:11:31', 2, 1881, 0, 3600, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (19, 96, '2020-03-02 09:27:21', '2020-03-13 01:28:08', 2, 1188, 1, 22000, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (10, 142, '2020-07-29 21:49:51', '2020-07-30 20:22:54', 2, 40, 1, 2250, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (13, 99, '2020-09-17 09:08:37', '2020-09-28 07:43:24', 2, 1309, 0, 14300, 'card');
INSERT INTO `car_rent_db`.`rent` (`id_car`, `id_user`, `rent_start`, `rent_end`, `id_rent_status`, `distance`, `deposit`, `total_price`, `payment_type`) VALUES (22, 76, '2020-01-07 15:52:00', '2020-01-09 11:48:26', 2, 50, 0, 2600, 'card');
